,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
18,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 14:33:38+00:00,0.5,0.5,Positive
19,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 14:25:45+00:00,0.5,0.5,Positive
20,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 14:23:45+00:00,0.5,0.5,Positive
21,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 14:22:18+00:00,0.5,0.5,Positive
22,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 14:15:35+00:00,0.5,0.5,Positive
23,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 14:11:36+00:00,0.5,0.5,Positive
24,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 14:10:21+00:00,0.5,0.5,Positive
25,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 14:08:28+00:00,0.5,0.5,Positive
26,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 13:49:51+00:00,0.5,0.5,Positive
27,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 13:39:39+00:00,0.5,0.5,Positive
28,"RT @Nayakone: Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC
7) Praj In…",en,0,0,2021-11-23 13:38:46+00:00,0.5,0.5,Positive
29,"Top 10 #Renewable Energy #Stocks

1) Reliance 
2) Torrent Power
3) NTPC
4) Borosil Renewable
5) Tata Power
6) NHPC… https://t.co/IuoZV0E5JZ",en,192,28,2021-11-23 13:38:17+00:00,0.5,0.5,Positive
30,"RT @CNBCTV18Live: Reliance Ind says company shall continue to collaborate with Saudi Aramco &amp; SABIC for invsts in Saudi Arabia and also, it…",en,0,0,2021-11-23 10:13:20+00:00,0.0,0.0,Neutral
31,RT @CNBCTV18Live: Moody's On Reliance Ind:  Re-evaluation of stake sale decision in O2C biz won’t impact credit quality https://t.co/KboSaT…,en,0,0,2021-11-23 10:03:50+00:00,0.0,0.0,Neutral
32,#Moody's On #Reliance Ind:  Re-evaluation of stake sale decision in O2C biz won’t impact credit quality,en,0,0,2021-11-23 08:14:44+00:00,0.0,0.0,Neutral
33,RT @CNBCTV18Live: Moody's On Reliance Ind:  Re-evaluation of stake sale decision in O2C biz won’t impact credit quality https://t.co/KboSaT…,en,0,0,2021-11-23 08:10:52+00:00,0.0,0.0,Neutral
34,"Moody's On Reliance Ind:  Re-evaluation of stake sale decision in O2C biz won’t impact credit quality
#Reliance… https://t.co/db0DUkNe4I",en,3,0,2021-11-23 08:09:20+00:00,0.0,0.0,Neutral
