,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
33,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:08:07+00:00,0.75,0.8,Positive
34,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:08:02+00:00,0.5,0.0625,Positive
35,"Our goal for a #sustainable future? 

♲ Carbon Neutral by 2025 
♲ Zero Emissions by 2040 

Cisco's @andrewsage shar… https://t.co/BKyM4Cajei",en,3,1,2021-11-16 20:08:00+00:00,0.125,0.0,Neutral
36,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:07:58+00:00,0.75,0.8,Positive
37,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:07:09+00:00,0.5,0.0625,Positive
38,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:06:35+00:00,0.5,0.0625,Positive
39,Doctrine of Equivalents can play a significant role in #biotech litigation as a mechanism to hold a party liable fo… https://t.co/gKxMYmbHdk,en,0,0,2021-11-16 20:06:00+00:00,0.6875,0.1375,Positive
40,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:05:37+00:00,0.75,0.8,Positive
41,RT @aditya_kondawar: McDonald's (Westlife) and ITC join hands for Happy Meals https://t.co/bhqalU9m2V,en,0,0,2021-11-16 20:05:05+00:00,1.0,0.8,Positive
42,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:04:23+00:00,0.5,0.0625,Positive
