,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
59,"RT @MukeshK99073281: @PiyushGoyal 
@RailMinIndia 
@PMOIndia 

Our current government is always talking about the youth and digital India.…",en,0,0,2021-11-16 15:32:59+00:00,0.2,0.0,Neutral
61,"Thanks @NidhiTanejaa
#RRB_GROUPD_EXAMDATE #rrb_ntpc_result @RailMinIndia https://t.co/rWazWQXi00",en,0,0,2021-11-16 15:30:44+00:00,0.2,0.2,Positive
63,RT @anantku246: @AshwiniVaishnaw @PMOIndia @narendramodi @BJP4MP @ChouhanShivraj @PIB_India @DDNewslive Railway ntpc or group d ka kab hoga…,en,0,0,2021-11-16 15:28:40+00:00,0.0,0.0,Neutral
65,RT @syaduvanshii0: @AshwiniVaishnaw @PMOIndia @narendramodi @BJP4MP @ChouhanShivraj @PIB_India @DDNewslive group d k exam or ntpc ka result…,en,0,0,2021-11-16 15:27:13+00:00,0.0,0.0,Neutral
68,"RT @NSEIndia: Congratulations NTPC Limited on completing 17 years of listing on NSE, a company built on the values of integrity, mutual res…",en,0,0,2021-11-16 15:26:26+00:00,0.14285714285714285,-0.07142857142857142,Negative
69,@narendramodi Sir #RRBNTPC #RRB_GROUPD_EXAMDATE #rrb_ntpc_result   railway exams ki bhi glimpse krwa do,en,0,0,2021-11-16 15:26:10+00:00,0.0,0.0,Neutral
70,NTPC Executive Recruitment 2021 – NTPC 15 Executive (Hydro) Vacancy https://t.co/20C7pNOckE,en,0,0,2021-11-16 15:25:35+00:00,0.0,0.0,Neutral
71,"@PiyushGoyal 
@RailMinIndia 
@PMOIndia 

Our current government is always talking about the youth and digital India… https://t.co/PbFPuQNJw7",en,2,2,2021-11-16 15:20:33+00:00,0.2,0.0,Neutral
72,RT @ExcelsiorComsoc: NTPC Ltd and Indian Oil signed a MoU to collaborate in the field of renewable energy &amp; mutually explore opportunities…,en,0,0,2021-11-16 15:20:13+00:00,0.0,0.0,Neutral
79,"Our current government is always talking about the youth and digital India.

In digital India youths are waiting fo… https://t.co/88juVgrKNq",en,0,0,2021-11-16 15:12:09+00:00,0.13333333333333333,0.0,Neutral
84,"@CeoNoida 
Sir, 
I have a flat in Gardenia glory - sector 46 , Noida booked when I was in service in NTPC. I have s… https://t.co/qFyAkzu7Rw",en,0,0,2021-11-16 14:57:27+00:00,0.125,-0.025,Negative
88,"RT @kunalpratap1507: Thank you Nidhi Taneja Ji to become voice of lakhs of people. 
#RRB_GROUPD_EXAMDATE 
#rrb_ntpc_cbt1_result 
#rrb_ntpc_…",en,0,0,2021-11-16 14:50:18+00:00,0.0,0.0,Neutral
90,"RT @ntpclimited: Shri R K Singh, Hon'ble Union Minister of Power, New &amp; Renewable Energy, addressing employees  on the occasion of 47th Rai…",en,0,0,2021-11-16 14:34:55+00:00,0.45454545454545453,0.13636363636363635,Positive
91,RT @airnewsalerts: Power Minister @RajKSinghIndia addresses 47th Raising Day of NTPC; Says that NTPC is a special company and it is the lar…,en,0,0,2021-11-16 14:34:51+00:00,0.5714285714285714,0.35714285714285715,Positive
