,tweet,language,likes,retweets,Subjectivity,Polarity,Analysis
47,"   Sir, try to fill in new form with new version
Of dated 28 Oct",en,0,0,0.45454545454545453,0.13636363636363635,Positive
48,"Someone please tell me when will this get completed, This has been idle status from 12th September, Am I missing so… ",en,0,0,0.05,-0.2,Negative
49,    Sir you may try to prepare the entire 3 CD form in new version utility… ,en,0,0,0.5397727272727273,0.06818181818181818,Positive
50,_akash      I expect short term long term calculation,en,0,0,0.35,-0.025,Negative
51,": Premium 2 &amp; 3 BHK Ready Flats Available project Available for Booking. Katraj Kondhwa Pune.
Few Inventory.9156459949
pu…",en,0,0,0.35000000000000003,0.2,Positive
52,"   
Don't you feel that in AIS they providing Sale Data of Script then they shou… ",en,0,0,0.0,0.0,Neutral
53,   _india   _GSTN … ,und,1,0,0.0,0.0,Neutral
54,": 1st Multibagger Pick of Top Investors: 

1. Rakesh Jhunjhunwala - Tata Tea 
2. Porinju Veliyath - Geojit 
3. Vijay Kedia…",en,0,0,0.5,0.5,Positive
55,": SCN by GST Department

   _india   _GST…",de,0,0,0.0,0.0,Neutral
56,"Premium 2 &amp; 3 BHK Ready Flats Available project Available for Booking. Katraj Kondhwa Pune.
Few Inventory.915645994… ",en,2,1,0.35000000000000003,0.2,Positive
57,"Error persisting since 15 days
Getting automated reply to email to their ID
No response
No correction
Are we doing… ",en,1,1,0.0,0.0,Neutral
58,"1st Multibagger Pick of Top Investors: 

1. Rakesh Jhunjhunwala - Tata Tea 
2. Porinju Veliyath - Geojit 
3. Vijay… ",en,203,16,0.5,0.5,Positive
59,_keerthikumar _      _GSTN… ,en,1,0,0.0,0.0,Neutral
60,"What a portal , what are you doing 👎     _india e verify option no… ",en,0,0,0.0,0.0,Neutral
61,   _india  _GSTN  … ,hi,3,0,0.0,0.0,Neutral
62," Infosys,Tata Power,IEX,RELIANCE,HAPPIEST MIND,YES BANK,IRCTC",en,0,0,0.0,0.0,Neutral
63,"opportunity @ Infosys (Raleigh, NC) - Android Developer  Job JobSeekers Jobs Raleigh",en,0,0,0.0,0.0,Neutral
64,": _Council _GSTN  _GoI _MeitY
Please note   is selling Blackmar…",en,0,0,0.0,0.0,Neutral
65,_india I have applied for revocation of registration cancellation on 08/06/2021 through APL-01. Till date i ha… ,en,0,0,0.0,0.0,Neutral
66,_trader Reason why I am curious because Infosys has same condition in 2000. And because of high valuation it… ,en,0,0,0.555,0.02,Positive
67,"    Hi Sir,
Have you got any solution for this problem.",en,0,0,0.0,0.0,Neutral
68," Infosys Negative structure, new buying only after closing above 1810, till then avoid. If holding… ",en,2,0,0.48863636363636365,-0.04090909090909091,Negative
69,      Respected Sir Please refer to your tweet reply… ,en,0,0,0.0,0.0,Neutral
70,": We were facing ""Invalid JSON"" error while uploading FORM 3CB-3CD. Now facing different one ""Invalid Metadata"". Not sure by…",en,0,0,0.7444444444444445,-0.125,Negative
71,": IRCTC Block Deals


ITC Block Deals


Reliance Industries Block Deals
htt…",en,0,0,0.0,0.0,Neutral
72, view on infosys. Please reply.,en,0,0,0.0,0.0,Neutral
73,"_gada: _india _Council _GSTN    
GSTITCHarrasment  TaxHarrasment ",und,0,0,0.0,0.0,Neutral
74,": Kotak Mahindra Bank Block Deals


Grasim Industries Block Deals 


Infosy…",en,0,0,0.0,0.0,Neutral
75,": IRCTC Block Deals


ITC Block Deals


Reliance Industries Block Deals
htt…",en,0,0,0.0,0.0,Neutral
76, Infosys,it,0,0,0.0,0.0,Neutral
77," _GSTN _india _Council    
 

Neither… ",en,0,0,0.0,0.0,Neutral
78,": ARN NO AD230521001219Q 

show ""Appeal Submitted"" 
On 26/05/2021

Pls be take action 
 _GSTN _india…",en,0,0,0.1,0.1,Positive
