,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
38,"@Roc_Eidolon Two Months back I shifted from Tatamotors to DVR.. EV theme is next one decade play, so prefer to go with SIP.",en,1,0,2021-11-11 07:38:33+00:00,0.0,0.0,Neutral
39,@TataMotors_Cars @TataMotors  I had high regards for TATA cars and was about to upgrade. But I have been having pro… https://t.co/DkXa6YEhZe,en,0,0,2021-11-11 07:37:27+00:00,0.5399999999999999,0.16,Positive
40,@raajleo @TataMotors_Cars @MahindraRise @Maruti_Corp @Vivekvivi @BosePratap @adiljal @sidpatankar @hormazdsorabjee… https://t.co/HdrB87fpRK,en,0,0,2021-11-11 07:36:00+00:00,0.0,0.0,Neutral
41,"RT @GajendraSvll: #Tatamotors 
Sir we have purchase one Prolite Engine from Balaji Service Indore  on dated 31.10.21  but on dated 07.11.21…",en,0,0,2021-11-11 07:35:53+00:00,0.0,0.0,Neutral
42,"I will say it again, IEX and MCX are my top two names along with ICICI, Tatamotors, KOTAK and Bajaj Finance..when t… https://t.co/tJAlfr9RcR",en,1,0,2021-11-11 07:33:20+00:00,0.5,0.5,Positive
43,"RT @sampathshetty8: I am very much disappointed with @TataMotors @TataMotors_Cars.
I have booked Nexon Dark Edition XZ+(O) on 31st July 201…",en,0,0,2021-11-11 07:33:20+00:00,0.575,-0.45,Negative
44,"RT @Magicbullindia: #JUBLFOOD 
#NMDC
#IDFCFIRSTBank 
#TATAMOTORS
#VEDL
#ONGC
#TATACOFFEE
#HAL
#Reliance 
#NAVINFLOURINE
#CHOLAFIN
#INDHOTEL…",en,0,0,2021-11-11 07:33:12+00:00,0.0,0.0,Neutral
45,"@TataMotors our detail
Name Gajendra Singh Thakur
cell no 7000424676",en,0,0,2021-11-11 07:31:07+00:00,0.0,0.0,Neutral
46,"@khanfiroz1976 Hi, all our open vacancies are posted on the career page https://t.co/9YokRlqe58, please visit the c… https://t.co/4zNhBmBIyh",en,0,0,2021-11-11 07:28:35+00:00,0.5,0.0,Neutral
48,@TataMotors_Cars @TataMotors Constant cabin noise from my Nexon XMA(s) even after 6 visits to SC. Link rods changed… https://t.co/4BTeXJ8Fnh,en,0,0,2021-11-11 07:27:04+00:00,0.3333333333333333,0.0,Neutral
49,"You don’t need to buy share going up. You just need the right few ones in your portfolio. 
Eg. If you have started… https://t.co/JG8cjXoWCH",en,1,0,2021-11-11 07:25:41+00:00,0.31785714285714284,0.042857142857142844,Positive
