,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
1317,50,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-06 03:42:27+00:00,0.5,0.5,Positive,2021-12-06 03:42:27+00:00,2021-12-06
1318,51,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-06 03:37:04+00:00,0.5,0.5,Positive,2021-12-06 03:37:04+00:00,2021-12-06
1319,52,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-06 03:26:18+00:00,0.5,0.5,Positive,2021-12-06 03:26:18+00:00,2021-12-06
1320,53,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-06 03:15:30+00:00,0.5,0.5,Positive,2021-12-06 03:15:30+00:00,2021-12-06
1321,54,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-06 03:06:18+00:00,0.5,0.5,Positive,2021-12-06 03:06:18+00:00,2021-12-06
1322,55,"RT @DrJitendraSingh: #COVID pandemic generated a huge amount of plastic waste from #PPEkits. Scientists at National Chemical Laboratory, #P…",en,0,0,2021-12-06 02:50:48+00:00,0.45,0.1,Positive,2021-12-06 02:50:48+00:00,2021-12-06
1323,56,"RT @DrJitendraSingh: #COVID pandemic generated a huge amount of plastic waste from #PPEkits. Scientists at National Chemical Laboratory, #P…",en,0,0,2021-12-06 00:06:02+00:00,0.45,0.1,Positive,2021-12-06 00:06:02+00:00,2021-12-06
1324,57,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-05 21:20:46+00:00,0.5,0.5,Positive,2021-12-05 21:20:46+00:00,2021-12-05
1325,58,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-05 20:12:26+00:00,0.5,0.5,Positive,2021-12-05 20:12:26+00:00,2021-12-05
1326,59,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-05 19:49:07+00:00,0.5,0.5,Positive,2021-12-05 19:49:07+00:00,2021-12-05
1327,60,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-05 19:19:50+00:00,0.5,0.5,Positive,2021-12-05 19:19:50+00:00,2021-12-05
1328,61,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-05 18:44:24+00:00,0.5,0.5,Positive,2021-12-05 18:44:24+00:00,2021-12-05
1329,62,"RT @Nayakone: Mutual Fund Top Holding Stocks 

- Infosys
- TCS
- HDFC Bank
- SBI
- Airtel 
- L&amp;T
- HDFC
- Reliance Ind
- Kotak Bank
- ICICI…",en,0,0,2021-12-05 18:38:09+00:00,0.5,0.5,Positive,2021-12-05 18:38:09+00:00,2021-12-05
