,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
728,15,"RT @UpdatesChennai: After Tech Mahindra and L&amp;T Infotech, firms like Mindtree and Hexaware will be soon opening their offices in Coimbatore…",en,0,0,2021-12-01 16:34:17+00:00,0.0,0.0,Neutral,2021-12-01 16:34:17+00:00,2021-12-01
729,16,Tech Mahindra partners with Cogniac to provide AI-based machine vision solutions for enterprises https://t.co/73HozMF6Hf,en,0,0,2021-12-01 16:30:02+00:00,0.0,0.0,Neutral,2021-12-01 16:30:02+00:00,2021-12-01
730,18,"RT @UpdatesChennai: After Tech Mahindra and L&amp;T Infotech, firms like Mindtree and Hexaware will be soon opening their offices in Coimbatore…",en,0,0,2021-12-01 16:14:08+00:00,0.0,0.0,Neutral,2021-12-01 16:14:08+00:00,2021-12-01
731,21,"Elon Musk, Anand Mahindra join netizens as they celebrate Parag Agrawal, other Indian-origin tech bosses 

https://t.co/o1htsgEmKR",en,0,0,2021-12-01 16:00:03+00:00,0.375,-0.125,Negative,2021-12-01 16:00:03+00:00,2021-12-01
732,22,"RT @UpdatesChennai: After Tech Mahindra and L&amp;T Infotech, firms like Mindtree and Hexaware will be soon opening their offices in Coimbatore…",en,0,0,2021-12-01 15:48:40+00:00,0.0,0.0,Neutral,2021-12-01 15:48:40+00:00,2021-12-01
733,23,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 15:47:58+00:00,0.0,0.0,Neutral,2021-12-01 15:47:58+00:00,2021-12-01
734,24,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 15:38:59+00:00,0.0,0.0,Neutral,2021-12-01 15:38:59+00:00,2021-12-01
735,25,"RT @UpdatesChennai: After Tech Mahindra and L&amp;T Infotech, firms like Mindtree and Hexaware will be soon opening their offices in Coimbatore…",en,0,0,2021-12-01 15:38:32+00:00,0.0,0.0,Neutral,2021-12-01 15:38:32+00:00,2021-12-01
736,26,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 15:38:17+00:00,0.0,0.0,Neutral,2021-12-01 15:38:17+00:00,2021-12-01
737,27,"RT @tech_mahindra: Read our latest white paper by Manvinder Bhatia, Consultant, BE. Consulting, @tech_mahindra and explore how #RPA and #AI…",en,0,0,2021-12-01 15:31:12+00:00,0.45,0.25,Positive,2021-12-01 15:31:12+00:00,2021-12-01
738,28,"RT @tech_mahindra: Presenting #InTheFuture Thought Leadership Digest by @tech_mahindra @WSJ Custom Content, collection of thought-leading c…",en,0,0,2021-12-01 15:28:06+00:00,0.0,0.0,Neutral,2021-12-01 15:28:06+00:00,2021-12-01
739,29,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 15:18:19+00:00,0.0,0.0,Neutral,2021-12-01 15:18:19+00:00,2021-12-01
740,30,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 15:10:28+00:00,0.0,0.0,Neutral,2021-12-01 15:10:28+00:00,2021-12-01
741,31,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 15:04:16+00:00,0.0,0.0,Neutral,2021-12-01 15:04:16+00:00,2021-12-01
742,32,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 15:01:25+00:00,0.0,0.0,Neutral,2021-12-01 15:01:25+00:00,2021-12-01
743,33,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 14:54:22+00:00,0.0,0.0,Neutral,2021-12-01 14:54:22+00:00,2021-12-01
744,34,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 14:49:37+00:00,0.0,0.0,Neutral,2021-12-01 14:49:37+00:00,2021-12-01
745,35,RT @MahindraRise: We are honoured that @tech_mahindra's been declared as the Global IT Leader in both DJSI World and DJSI Emerging Markets…,en,0,0,2021-12-01 14:33:06+00:00,0.0,0.0,Neutral,2021-12-01 14:33:06+00:00,2021-12-01
