,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
10,20,RT @TribalArmy: Hul Johar! Sending you all warm wishes on the birth anniversary of our revolutionary leader Dharti Aaba Birsa Munda Ji. #Bi…,en,0,0,2021-11-16 18:39:56+00:00,0.6,0.6,Positive,2021-11-16 18:39:56+00:00,2021-11-16
11,23,".@lifebuoysoap's ""H is for Handwashing"" wins a Bronze Multi-Region Effie in the Positive Change: Social Good-Brands… https://t.co/cbncmn1v1a",en,1,1,2021-11-16 18:25:21+00:00,0.2707070707070707,0.1868686868686868,Positive,2021-11-16 18:25:21+00:00,2021-11-16
12,24,"RT @eyvette_hr: Moving forward with intention, with one heart, one mind and one spirit for the important work being done. 

Working togethe…",en,0,0,2021-11-16 18:24:01+00:00,1.0,0.4,Positive,2021-11-16 18:24:01+00:00,2021-11-16
13,25,"Moving forward with intention, with one heart, one mind and one spirit for the important work being done. 

Working… https://t.co/otXzoLg5nv",en,6,2,2021-11-16 18:18:40+00:00,1.0,0.4,Positive,2021-11-16 18:18:40+00:00,2021-11-16
14,26,"@pushkalgoel @connectgurmeet Tata Motor, Tata Power, Deepak Nitrate, HUL, Asian paints etc. Do you own research as well sir.",en,0,0,2021-11-16 18:14:56+00:00,0.5,0.3,Positive,2021-11-16 18:14:56+00:00,2021-11-16
15,27,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 18:11:23+00:00,0.75,0.5,Positive,2021-11-16 18:11:23+00:00,2021-11-16
16,29,@Tijori1 Heart attack given by Tata steel is much higher than HUL to investor ..you missed that point.,en,1,0,2021-11-16 18:08:54+00:00,0.5,0.25,Positive,2021-11-16 18:08:54+00:00,2021-11-16
17,30,Seeing some hul chal.  I feel this is going to happen soon 👀 https://t.co/zi7s32eb6C,en,3,0,2021-11-16 18:06:08+00:00,0.0,0.0,Neutral,2021-11-16 18:06:08+00:00,2021-11-16
18,31,"RT @shamanresearch: India's Largest Companies by Net Profit:

#reliance #TCS #HDFCBANK #infosys #HUL #ICICIBank #bajajfinance #SBI #kotakma…",en,0,0,2021-11-16 17:53:48+00:00,0.0,0.0,Neutral,2021-11-16 17:53:48+00:00,2021-11-16
19,33,"Rest Losers
#SunPharma Loses 1.63%
#TataSteel Slips 1.31%
#DrReddysLabs Falls 1.16%
#ICICIBank Drops 1.14%
#ITC Dec… https://t.co/lL7I3IagzK",en,0,0,2021-11-16 17:47:35+00:00,0.15,-0.25,Negative,2021-11-16 17:47:35+00:00,2021-11-16
20,35,@chirayum @WealthEnrich Beta aaj hans rahe ho... 5 saal baad... Dekhoge jalwe. Like this HUL also didn't give any r… https://t.co/CcYUs721ur,en,0,0,2021-11-16 17:43:19+00:00,0.0,0.0,Neutral,2021-11-16 17:43:19+00:00,2021-11-16
21,36,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 17:34:37+00:00,0.75,0.5,Positive,2021-11-16 17:34:37+00:00,2021-11-16
22,39,RT @bottomRSA91: #straightmen #buddies #buddyfilming #tagteaming #naai ou neem homself en sy buddy af besig om ń bj saam te kry van 1 girl…,en,0,0,2021-11-16 17:32:57+00:00,0.0,0.0,Neutral,2021-11-16 17:32:57+00:00,2021-11-16
23,40,@vishalkotian u don't have that gutes to confront her . Ettu sa gurda h 😄. Aye bade @jaybhanushali ko hul dene ..vakk,en,0,0,2021-11-16 17:32:26+00:00,0.0,0.0,Neutral,2021-11-16 17:32:26+00:00,2021-11-16
24,45,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 17:11:24+00:00,0.75,0.5,Positive,2021-11-16 17:11:24+00:00,2021-11-16
25,46,"India's Largest Companies by Net Profit:

#reliance #TCS #HDFCBANK #infosys #HUL #ICICIBank #bajajfinance #SBI… https://t.co/8bREF8ZZUD",en,0,1,2021-11-16 17:06:41+00:00,0.0,0.0,Neutral,2021-11-16 17:06:41+00:00,2021-11-16
26,47,"RT @Tijori1: Tata Steel has beaten HUL in price appreciation over the last 20 years

20 year absolute growth

Tata Steel +1686%
HUL   +1352%",en,0,0,2021-11-16 17:05:22+00:00,0.4833333333333333,0.1,Positive,2021-11-16 17:05:22+00:00,2021-11-16
27,49,"RT @unesconewdelhi: 📢Happening Today!
Join us today for an interactive session on Future of Historic Towns - Relevance of HUL in #SouthAsia…",en,0,0,2021-11-16 16:58:59+00:00,0.0625,0.0,Neutral,2021-11-16 16:58:59+00:00,2021-11-16
28,50,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 16:52:15+00:00,0.75,0.5,Positive,2021-11-16 16:52:15+00:00,2021-11-16
29,51,RT @TribalArmy: Hul Johar! Sending you all warm wishes on the birth anniversary of our revolutionary leader Dharti Aaba Birsa Munda Ji. #Bi…,en,0,0,2021-11-16 16:50:31+00:00,0.6,0.6,Positive,2021-11-16 16:50:31+00:00,2021-11-16
30,53,"RT @Tijori1: Tata Steel has beaten HUL in price appreciation over the last 20 years

20 year absolute growth

Tata Steel +1686%
HUL   +1352%",en,0,0,2021-11-16 16:43:51+00:00,0.4833333333333333,0.1,Positive,2021-11-16 16:43:51+00:00,2021-11-16
31,54,"Buying Ultra Large Cap Stocks (Top 10 market cap stocks) like ITC HUL Sun Pharma

We can expect 15% CAGR if investe… https://t.co/N4LCrVX04Z",en,0,0,2021-11-16 16:30:46+00:00,0.4642857142857143,0.3571428571428571,Positive,2021-11-16 16:30:46+00:00,2021-11-16
32,55,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 16:26:32+00:00,0.75,0.5,Positive,2021-11-16 16:26:32+00:00,2021-11-16
33,57,"Good stocks to accumulate which are nearing its support zone/ at Support on weekly timeframe.

@chartmojo… https://t.co/L9ewgCEtI5",en,0,0,2021-11-16 16:17:20+00:00,0.6000000000000001,0.7,Positive,2021-11-16 16:17:20+00:00,2021-11-16
34,58,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 16:13:18+00:00,0.75,0.5,Positive,2021-11-16 16:13:18+00:00,2021-11-16
35,59,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 16:11:12+00:00,0.75,0.5,Positive,2021-11-16 16:11:12+00:00,2021-11-16
36,62,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 16:05:14+00:00,0.75,0.5,Positive,2021-11-16 16:05:14+00:00,2021-11-16
37,63,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:56:01+00:00,0.75,0.5,Positive,2021-11-16 15:56:01+00:00,2021-11-16
38,64,RT @nooreshtech: The first stocks to make new 52 week highs after #Covid - #HUL and #Nestle. Not been much of a performer post that. If thi…,en,0,0,2021-11-16 15:53:34+00:00,0.3292929292929292,0.1954545454545454,Positive,2021-11-16 15:53:34+00:00,2021-11-16
39,66,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:47:54+00:00,0.75,0.5,Positive,2021-11-16 15:47:54+00:00,2021-11-16
40,67,"RT @btsbaragi_jk: 👤hul(wow) is that hoseokie’s departure bag?????
🐿hmm…….🤔
*hmm more cutely https://t.co/1jy54FRIy2",en,0,0,2021-11-16 15:42:04+00:00,0.75,0.5,Positive,2021-11-16 15:42:04+00:00,2021-11-16
41,70,"Back in the early '90s, the only branded atta in TVM was one called Kuthuvilakku. I distinctly remember their yello… https://t.co/dtWDdPumHc",en,2,0,2021-11-16 15:38:22+00:00,0.4,0.1,Positive,2021-11-16 15:38:22+00:00,2021-11-16
